date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:39	8536/8536	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2004:30:19%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/6744538800-1-1-16.jpg?v=1546789307327	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/6744538800-1-1-166217.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:43	23676/23676	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2002:39:50%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6744538800-1-1-16.jpg?v=1546789307327	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6744538800-1-1-166217.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:32:47	21601/21601	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jan%202020%2002:37:01%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6744538800-2-1-16.jpg?v=1546789312690	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6744538800-2-1-16bace.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:33:00	72367/72367	---MCZ	200	added ('OK')	text/html	etag:W/aacac68b0896940fe0ecd00d8894d857	https://tmt-fashion-1.mysapo.net/fringed-dress-with-bow	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/fringed-dress-with-bow.html	(from https://tmt-fashion-1.mysapo.net/)
21:33:01	7778/7778	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2002:39:50%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/6682729807-1-1-16.jpg?v=1546789166607	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/6682729807-1-1-1600dd.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:33:05	21861/21861	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2004:38:13%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6682729807-1-1-16.jpg?v=1546789166607	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6682729807-1-1-1600dd.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:33:32	845725/845725	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202019%2014:58:47%20GMT	http://bizweb.dktcdn.net/100/343/333/products/2002203401-2-3-16.jpg?v=1546787346663	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/2002203401-2-3-16747f.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:33:36	22558/22558	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jan%202020%2002:52:57%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6682729807-2-1-16.jpg?v=1546789169487	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6682729807-2-1-16b023.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:33:51	69625/69625	---MCZ	200	added ('OK')	text/html	etag:W/9462f7c72a7f4c90caf7a42fd052323b	https://tmt-fashion-1.mysapo.net/pleated-dress	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/pleated-dress.html	(from https://tmt-fashion-1.mysapo.net/)
21:33:53	7550/7550	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Feb%202020%2006:50:51%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/6633730800-1-1-16.jpg?v=1546788989627	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/6633730800-1-1-162075.jpg	(from https://tmt-fashion-1.mysapo.net/)
